scenario,slice,metric,agent_a,agent_b,mean_delta,effect_size_dz,effect_size_label,favored_agent
treatment_allocation_confounding,adversarial,avg_cost,baseline,structural_causal,0.20868749999999994,2.387466725707458,large,structural_causal
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,structural_causal,0.09432540892919249,5.416263962847852,large,structural_causal
treatment_allocation_confounding,degradation,success_rate_drop,baseline,structural_causal,0.05533333333333338,2.0752063518001393,large,structural_causal
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,structural_causal,0.03615919629350468,1.3103998075590968,large,structural_causal
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,structural_causal,0.06599999999999995,4.962138252093335,large,structural_causal
treatment_allocation_confounding,overall,success_rate,baseline,workflow,0.06249999999999999,6.6644350903081016,large,baseline
treatment_allocation_confounding,overall,near_optimal_rate,baseline,workflow,0.05558333333333334,7.766896150003593,large,baseline
treatment_allocation_confounding,overall,avg_cost,baseline,workflow,-0.10546805555555556,-12.633508879147323,large,baseline
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,workflow,0.03500940940361979,5.84837243720288,large,workflow
treatment_allocation_confounding,normal,success_rate,baseline,workflow,0.06400000000000004,4.741627772414848,large,baseline
treatment_allocation_confounding,normal,near_optimal_rate,baseline,workflow,0.062083333333333275,6.937515331391459,large,baseline
treatment_allocation_confounding,normal,avg_cost,baseline,workflow,-0.11251666666666667,-9.638382894666705,large,baseline
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,workflow,0.037279699474096456,3.351629785614293,large,workflow
treatment_allocation_confounding,surface_shift,success_rate,baseline,workflow,0.07375000000000005,7.87704893486256,large,baseline
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,workflow,0.07166666666666661,6.911660055300023,large,baseline
treatment_allocation_confounding,surface_shift,avg_cost,baseline,workflow,-0.11774166666666669,-8.951652792241925,large,baseline
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,workflow,0.0019185780339489005,0.2131041155670964,small,workflow
treatment_allocation_confounding,adversarial,success_rate,baseline,workflow,0.04974999999999997,2.585664731410445,large,baseline
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,workflow,0.03300000000000003,2.7159218558518203,large,baseline
treatment_allocation_confounding,adversarial,avg_cost,baseline,workflow,-0.08614583333333332,-5.505941726210077,large,baseline
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,workflow,0.054176021542117925,5.03612066578383,large,workflow
treatment_allocation_confounding,degradation,success_rate_drop,baseline,workflow,0.014250000000000068,0.7203813533831561,medium,workflow
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,workflow,0.016896322068021486,0.9459830042728117,large,workflow
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,workflow,0.02908333333333325,2.264186408434086,large,workflow
