scenario,agent,success_rate_mean,success_rate_ci_lower,success_rate_ci_upper,fairness_gap_mean,fairness_gap_ci_lower,fairness_gap_ci_upper,robustness_drop_mean,robustness_drop_ci_lower,robustness_drop_ci_upper,near_optimal_rate_mean,near_optimal_rate_ci_lower,near_optimal_rate_ci_upper
treatment_allocation_confounding,baseline,0.6441666666666667,0.6366448041715765,0.6516885291617568,0.06571667773088827,0.060498582311526855,0.07093477315024968,0.044416666666666695,0.026324682381420744,0.06250865095191264,0.9325555555555556,0.9300087341920869,0.9351023769190243
treatment_allocation_confounding,workflow,0.5816666666666667,0.5750138768531715,0.5883194564801618,0.030707268327268483,0.02575076356323943,0.035663773091297535,0.03016666666666663,0.019374446315739566,0.04095888701759369,0.8769722222222222,0.8739955540105807,0.8799488904338636
treatment_allocation_confounding,causal_light,0.7066666666666666,0.7002421263248315,0.7130912070085016,0.029540538523128174,0.025586762388658448,0.033494314657597904,0.013833333333333336,0.006043034185279049,0.021623632481387624,0.9951944444444444,0.9946799425243487,0.9957089463645401
treatment_allocation_confounding,stability_filtered,0.6809999999999999,0.6544201187813259,0.707579881218674,0.009468123617313754,0.006387992438032477,0.012548254796595031,-0.0028333333333333357,-0.014967014214915648,0.009300347548248978,0.9951111111111111,0.9928745942532837,0.9973476279689384
treatment_allocation_confounding,structural_causal,0.7071666666666666,0.6825528568602122,0.731780476473121,0.008826340589847057,0.0063030682366498406,0.011349612943044273,-0.010916666666666686,-0.024056991963534394,0.002223658630201023,0.9945277777777778,0.9926025996116712,0.9964529559438844
missing_data_bias,baseline,0.5955833333333334,0.5873380420816633,0.6038286245850034,0.018172878607046427,0.014269462485256096,0.022076294728836758,0.04716666666666667,0.02818113584824367,0.06615219748508967,0.9499166666666667,0.9461996319484567,0.9536337013848768
missing_data_bias,workflow,0.6311111111111111,0.6248398843419569,0.6373823378802652,0.018218300144678883,0.01388458457542473,0.022552015713933036,0.0369166666666667,0.022490306135861865,0.05134302719747154,0.9755277777777778,0.9733370836173232,0.9777184719382324
missing_data_bias,causal_light,0.7030833333333333,0.6976205683767902,0.7085460982898764,0.008173068099359162,0.00546107165414852,0.010885064544569804,-0.0040000000000000036,-0.017178091441586642,0.009178091441586635,0.9978333333333333,0.9972446003643853,0.9984220663022814
missing_data_bias,stability_filtered,0.71625,0.6890530218600015,0.7434469781399986,0.007705008785349241,0.005054856812685377,0.010355160758013104,-0.0021666666666666687,-0.016803589905708422,0.012470256572375084,0.9952777777777779,0.9943575564596914,0.9961979990958645
missing_data_bias,structural_causal,0.7056388888888888,0.6789522223631635,0.7323255554146141,0.007226850780042354,0.00483312895704424,0.009620572603040467,0.0008333333333333156,-0.014596968191693349,0.01626363485835998,0.9954166666666667,0.9938288843656158,0.9970044489677177
historical_bias_feedback,baseline,0.6095277777777778,0.6016723432313067,0.6173832123242489,0.07418252884064078,0.06966491968470923,0.07870013799657233,0.06350000000000001,0.04990924404743758,0.07709075595256246,0.9127222222222223,0.9096907490118036,0.9157536954326411
historical_bias_feedback,workflow,0.5637500000000001,0.5576999862188244,0.5698000137811757,0.04034438040356171,0.036379648641964656,0.044309112165158766,0.028666666666666608,0.019179218566443442,0.03815411476688978,0.8694722222222224,0.8656648651728082,0.8732795792716367
historical_bias_feedback,causal_light,0.6852777777777778,0.6792794051577898,0.6912761503977657,0.0336026864707902,0.029826444663378707,0.03737892827820169,0.012916666666666623,0.00415677952473955,0.021676553808593697,0.993111111111111,0.9920299323834276,0.9941922898387943
historical_bias_feedback,stability_filtered,0.6856111111111112,0.6570271301170222,0.7141950921052002,0.010845977270243482,0.00667695036010206,0.015015004180384903,-0.002666666666666669,-0.01123541755108072,0.005902084217747381,0.9932499999999999,0.9907832241508469,0.9957167758491529
historical_bias_feedback,structural_causal,0.6943888888888888,0.6742730377345344,0.7145047400432433,0.007555989681360478,0.004535829408390261,0.010576149954330696,-0.003250000000000012,-0.012969759283996027,0.006469759283996004,0.9889722222222223,0.9859764368654427,0.9919680075790018
