scenario,slice,metric,agent_a,agent_b,mean_a,mean_b,paired_mean_difference,ci_lower,ci_upper,p_raw,cohen_dz,n_seeds
treatment_allocation_confounding,overall,success_rate,baseline,causal_light,0.6441666666666667,0.7066666666666666,-0.06250000000000001,-0.06778858264494413,-0.057211417355055895,0.00048828125,-7.508742535388292,12
treatment_allocation_confounding,overall,near_optimal_rate,baseline,causal_light,0.9325555555555556,0.9951944444444444,-0.06263888888888887,-0.06532765518393324,-0.059950122593844496,0.00048828125,-14.801900530093516,12
treatment_allocation_confounding,overall,avg_cost,baseline,causal_light,0.4325097222222221,0.3613125,0.0711972222222222,0.06635856606147204,0.07603587838297236,0.00048828125,9.348991810765822,12
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,causal_light,0.06571667773088827,0.029540538523128174,0.0361761392077601,0.03311132871975491,0.03924094969576528,0.00048828125,7.499720569063313,12
treatment_allocation_confounding,normal,success_rate,baseline,causal_light,0.6503333333333333,0.7098333333333334,-0.05949999999999996,-0.06903824365149211,-0.049961756348507816,0.00048828125,-3.9634651595537407,12
treatment_allocation_confounding,normal,near_optimal_rate,baseline,causal_light,0.9474166666666665,0.9958333333333332,-0.04841666666666671,-0.05179460837034582,-0.0450387249629876,0.00048828125,-9.106871894196757,12
treatment_allocation_confounding,normal,avg_cost,baseline,causal_light,0.4185583333333333,0.35870833333333324,0.059850000000000014,0.052931429056000734,0.0667685709439993,0.00048828125,5.496348320251118,12
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,causal_light,0.07637281643608342,0.044166135760856096,0.03220668067522733,0.02590880138064656,0.03850455996980809,0.00048828125,3.249212579876594,12
treatment_allocation_confounding,surface_shift,success_rate,baseline,causal_light,0.67625,0.7141666666666665,-0.037916666666666606,-0.04475690207090082,-0.03107643126243239,0.00048828125,-3.5219695260213064,12
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,causal_light,0.9688333333333333,0.99825,-0.02941666666666669,-0.034041897212788115,-0.024791436120545268,0.00048828125,-4.0409787395158325,12
treatment_allocation_confounding,surface_shift,avg_cost,baseline,causal_light,0.3836583333333332,0.3458249999999999,0.03783333333333332,0.02924871810574549,0.04641794856092116,0.00048828125,2.8001433416993535,12
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,causal_light,0.01819440050903006,0.016862288114299528,0.0013321123947305318,-0.0034208104048301198,0.006085035194291184,0.54345703125,0.17807649554167038,12
treatment_allocation_confounding,adversarial,success_rate,baseline,causal_light,0.6059166666666665,0.6960000000000001,-0.09008333333333333,-0.09982697644219582,-0.08033969022447085,0.00048828125,-5.874211390338759,12
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,causal_light,0.8814166666666668,0.9915000000000003,-0.11008333333333331,-0.11549811424723268,-0.10466855241943394,0.00048828125,-12.917163998361955,12
treatment_allocation_confounding,adversarial,avg_cost,baseline,causal_light,0.4953124999999999,0.3794041666666666,0.11590833333333332,0.10733145405712909,0.12448521260953756,0.00048828125,8.586414608055064,12
