scenario,slice,metric,agent_a,agent_b,p_raw,p_holm,p_bh,p_paired_t,p_paired_t_holm,p_paired_t_bh,correction_family,family_size
treatment_allocation_confounding,surface_shift,avg_cost,baseline,stability_filtered,0.22705078125,1.0,0.32435825892857145,0.24505490508203623,1.0,0.3380067656303948,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,stability_filtered,0.615234375,1.0,0.68359375,0.6166697185310692,1.0,0.6851885761456324,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,adversarial,success_rate,baseline,stability_filtered,0.00048828125,0.01953125,0.0006734913793103449,0.0005314827711693986,0.006377793254032784,0.0007330796843715843,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,stability_filtered,0.00048828125,0.01953125,0.0006734913793103449,1.1310667679096181e-12,3.73252033410174e-11,5.655333839548091e-12,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,avg_cost,baseline,stability_filtered,0.00048828125,0.01953125,0.0006734913793103449,0.0004312034943623333,0.005605645426710333,0.0006160049919461905,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,stability_filtered,0.00048828125,0.01953125,0.0006734913793103449,3.0568881541918933e-09,7.947909200898923e-08,8.151701744511715e-09,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,degradation,success_rate_drop,baseline,stability_filtered,0.001953125,0.029296875,0.003662109375,0.0002566450542985503,0.005389546140269557,0.0006988815044985373,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,stability_filtered,0.00146484375,0.0263671875,0.0029296875,0.0003678197668746935,0.006252936036869789,0.0007881852147314861,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,stability_filtered,0.00048828125,0.0146484375,0.0013316761363636363,9.892794687172624e-09,2.769982512408335e-07,9.892794687172625e-08,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,overall,success_rate,baseline,structural_causal,0.00146484375,0.0205078125,0.0020926339285714285,0.00010140034005416398,0.0014196047607582959,0.00015022272600616888,treatment_allocation_confounding::overall,40
